depth	mC	CG	CHG	CHH
22	21	2	1	0
22	22	2	0	0
23	0	39	34	152
23	1	1	4	16
23	2	2	0	3
23	3	0	0	4
23	4	0	2	1
23	5	0	1	0
23	7	0	0	1
23	9	0	2	0
23	12	0	1	0
23	13	0	2	0
23	14	0	1	0
23	16	0	2	0
23	18	1	1	0
23	19	0	1	0
23	20	1	2	0
23	21	2	0	0
23	23	2	0	0
24	0	37	44	159
24	1	5	5	14
24	2	2	1	2
24	3	1	1	2
24	4	0	1	0
24	5	0	1	0
24	6	1	0	0
24	9	0	1	0
24	13	0	1	0
24	14	0	1	0
24	17	1	0	0
24	18	0	3	0
24	19	0	2	0
24	20	0	1	0
24	21	0	1	0
24	23	3	0	0
24	24	3	0	0
25	0	18	17	118
25	1	2	5	17
25	2	0	5	3
25	3	0	4	2
25	4	1	3	2
25	5	0	3	0
25	7	1	0	0
25	8	0	3	0
25	9	0	0	1
25	12	0	1	0
25	16	1	0	0
25	20	2	2	0
25	21	1	0	0
25	22	1	1	0
25	23	1	0	0
25	24	5	0	0
25	25	3	0	0
26	0	21	15	100
26	1	2	2	17
26	2	0	0	5
26	3	0	2	2
26	5	0	2	2
26	6	1	1	0
26	9	0	2	0
26	11	0	1	0
26	16	1	1	0
26	17	0	2	0
26	19	0	1	0
26	20	0	1	0
26	21	1	1	0
26	22	1	1	0
26	24	2	0	0
26	25	2	0	0
27	0	14	14	70
27	1	3	6	11
27	2	0	1	1
27	3	1	0	3
27	4	0	0	1
27	5	1	0	0
27	7	0	0	1
27	8	0	1	0
27	12	0	1	0
27	13	0	1	0
27	15	0	1	0
27	18	0	1	0
27	23	0	1	0
27	24	1	0	0
27	25	2	1	0
27	27	1	0	0
28	0	18	13	52
28	1	0	1	12
28	2	1	1	2
28	3	0	0	1
28	4	0	1	2
28	5	0	2	2
28	16	0	1	1
28	23	0	2	0
28	24	1	1	0
28	27	1	0	0
29	0	9	14	50
29	1	2	2	11
29	2	1	0	1
29	3	1	0	1
29	4	0	1	0
29	5	0	0	1
29	6	1	1	0
29	10	0	1	0
29	14	0	1	0
29	21	0	1	0
29	25	0	1	0
29	27	1	0	0
29	28	3	0	0
30	0	9	13	46
30	1	2	3	9
30	2	1	0	2
30	3	0	0	2
30	6	1	0	0
30	11	0	1	0
30	17	0	1	0
30	24	1	0	0
30	25	1	0	0
31	0	10	8	55
31	1	1	2	10
31	2	0	0	1
31	4	0	0	1
31	6	0	0	1
31	21	0	1	0
31	24	0	1	0
31	27	1	0	0
31	28	0	1	0
32	0	6	9	39
32	1	1	1	6
32	2	1	2	0
32	3	0	1	0
32	5	0	1	0
32	20	0	1	0
33	0	7	9	34
33	1	4	1	7
33	2	0	1	0
33	6	1	0	0
33	13	1	0	0
33	24	0	1	0
34	0	1	5	26
34	1	1	0	3
34	2	1	0	0
34	13	0	1	0
35	0	4	7	15
35	1	0	2	2
35	3	0	0	1
36	0	3	2	13
36	1	3	1	0
36	26	0	1	0
37	0	1	2	15
37	1	2	0	0
37	2	0	0	1
37	3	0	0	1
37	15	1	0	0
37	17	1	0	0
38	0	0	0	10
38	1	0	2	4
38	3	0	1	0
38	16	0	1	0
39	0	2	0	11
39	1	0	0	2
40	0	0	0	3
41	1	0	0	1
41	14	1	0	0
42	0	2	0	6
42	1	0	0	1
43	0	0	0	4
44	0	0	0	2
45	0	1	0	2
